Movie Title,IMDB_Score,IMDB_Votes
Chocolate City: Vegas Strip,3.7,297.0
Journey to Greenland,6.3,1336.0
Fifty,6.1,259.0
All About Asado,6.5,566.0
Phantom,5.9,9145.0
The Ivory Game,7.9,3243.0
HiGH&LOW: The Red Rain,6.2,277.0
Lens,6.6,1212.0
Selfie 69,6.1,1700.0
Ali Baba and the 7 Dwarfs,5.8,19834.0
Ghost Patrol,5.1,221.0
Talvar,8.1,34659.0
"Liar, Liar, Vampire",5.8,940.0
I'll Sleep When I'm Dead,6.6,1358.0
Dil Dhadakne Do,7.0,17149.0
Wazir,7.2,18681.0
Cosmos Laundromat,,
The Worthy,5.1,1981.0
Kyaa Kool Hain Hum 3,1.9,4341.0
Chronically Metropolitan,5.0,1503.0
1898: Our Last Men in the Philippines,6.5,3281.0
Sofía Niño de Rivera: Exposed,7.3,299.0
Russell Peters: Almost Famous,6.5,1882.0
Ludo,2.8,825.0
Everything About Her,7.1,328.0
#FollowFriday,2.7,382.0
Eddie: Strongman,7.4,1158.0
Gabbar Is Back,7.2,24676.0
The Massively Mixed-Up Middle School Mystery,7.3,78.0
Jonah,5.4,230.0
Motu Patlu: King Of Kings,6.8,157.0
Sen Benim HerŞeyimsin,6.2,2667.0
Barakah Meets Barakah,6.3,1681.0
Fitoor,5.4,4787.0
Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),6.8,1506.0
Puerto Ricans in Paris,5.3,1824.0
Reggie Watts: Spatial,6.0,503.0
You Are My Sunday,7.8,1649.0
Layla M.,6.7,1692.0
Asperger's Are Us,6.6,737.0
Honeytrap,5.9,758.0
City of Joy,7.5,525.0
ABCD 2,5.4,6258.0
Iliza Shlesinger: Freezing Hot,6.8,2572.0
Carlos Ballarta: el amor es de putos,7.0,232.0
Offline: Are You Ready for the Next Level?,5.0,775.0
Olmo and the Seagull,7.2,674.0
7:19,5.9,644.0
Born in Syria,7.7,279.0
Te3n,7.3,12816.0
The Doll,5.2,738.0
Brother Jekwu,,
Clair Obscur,6.5,2374.0
Pettson and Findus: The Best Christmas Ever,5.5,353.0
U Turn,7.5,3310.0
I Love You,4.7,983.0
Ordinary People,7.3,498.0
Poshter Girl,6.6,328.0
Shaandaar,3.6,5612.0
Hawaizaada,5.6,1910.0
Very Big Shot,7.1,1395.0
Joe Rogan: Triggered,7.4,4447.0
X: Past Is Present,5.1,699.0
David Cross: Making America Great Again,6.4,1647.0
100 Meters,7.5,6167.0
Iliza Shlesinger: Confirmed Kills,6.6,2865.0
Breaking the Bank,4.8,928.0
Hannibal Buress: Comedy Camisado,6.6,1517.0
Bangistan,4.5,1273.0
Lang Tong,4.8,307.0
"Trailer Park Boys: Drunk, High and Unemployed: Live In Austin",6.5,1036.0
Kiss of Life,5.9,1248.0
S Storm,5.2,697.0
